# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
2.000000,1.008171,-0.000000,0.000000,1.278119,-1.680828,1.007628,-0.299565,0.035115,1.580243,0.000000,0.000000,4.293648,-8.234486,6.218609,-2.147154,0.281631,0.505458,-0.000000,0.000000,0.051100,-0.028053,-0.014579,0.013962,-0.002685,-0.158946,-0.000000,0.000000,-9.046647,16.809456,-12.739387,4.430573,-0.584747
2.000000,1.906575,0.376352,-0.359044,-0.129235,0.240664,-0.203023,0.085631,-0.013117,1.804102,-0.573799,-0.437828,1.330937,-1.806870,1.254273,-0.411226,0.051306,0.548801,0.027120,0.013743,-0.026013,0.007606,0.008816,-0.006046,0.001044,-2.532195,-1.104905,0.383445,-2.713280,4.528664,-3.338383,1.150409,-0.151360
2.000000,1.344557,-0.586343,0.136721,0.030834,0.171337,-0.129300,0.034167,-0.003211,1.028181,0.197731,0.308003,-0.018015,0.122588,-0.232810,0.113421,-0.018021,0.600358,0.025321,-0.004235,0.004544,0.000003,-0.001874,0.000841,-0.000112,-5.031980,-1.214556,0.105404,-0.715367,1.155414,-0.825477,0.276027,-0.035286
2.000000,1.344853,0.590712,0.131867,-0.102107,-0.144350,0.114894,-0.034774,0.004118,1.975340,0.215208,-0.371556,-0.293881,0.512069,-0.346362,0.116593,-0.015124,0.650021,0.024537,-0.000005,0.001643,-0.001148,-0.000333,0.000441,-0.000090,-7.541938,-1.253239,0.039190,-0.087052,0.037663,0.028273,-0.025368,0.005083
2.000000,1.905432,-0.366636,-0.332268,0.080979,0.109930,-0.070968,0.021515,-0.002786,1.204073,-0.510094,0.264738,0.133529,-0.151007,0.135521,-0.062975,0.010151,0.699883,0.025142,0.000919,-0.000783,-0.000546,0.000648,-0.000171,0.000010,-10.053669,-1.267567,0.010009,0.132706,-0.316913,0.277262,-0.106595,0.015168
2.000000,0.999154,-0.000955,0.405816,0.003896,-0.092261,0.040901,-0.012749,0.001851,1.500504,0.616950,-0.009317,-0.045286,-0.183703,0.125402,-0.029918,0.002357,0.749919,0.025420,0.000568,-0.001078,-0.000337,0.000872,-0.000348,0.000042,-12.565895,-1.266223,-0.008527,0.126818,-0.228975,0.171514,-0.058674,0.007573
2.000000,1.905269,0.370064,-0.329094,-0.101585,0.080887,-0.031908,0.012867,-0.002094,1.795359,-0.498563,-0.254383,0.034034,0.311014,-0.265328,0.097299,-0.013612,0.799966,0.025533,0.000176,-0.001304,-0.000046,0.001211,-0.000675,0.000109,-15.078839,-1.257267,-0.014568,0.008634,0.052162,-0.078716,0.039726,-0.006775
2.000000,1.344867,-0.597434,0.130694,0.155075,-0.045994,0.025988,-0.016350,0.002990,1.023464,0.201646,0.392277,-0.145954,0.067584,-0.050036,0.009907,0.000240,0.850066,0.025216,-0.000629,-0.000184,0.000445,0.000379,-0.000457,0.000105,-17.591595,-1.247725,-0.026558,-0.160418,0.519803,-0.539273,0.235454,-0.037137
2.000000,1.345431,0.593876,0.121729,-0.114858,-0.091254,0.061708,-0.012395,0.000654,1.973132,0.188568,-0.325666,0.112535,-0.646612,0.793289,-0.365154,0.059203,0.899937,0.024306,0.000095,0.004184,-0.002242,-0.003380,0.002992,-0.000623,-20.100942,-1.217170,-0.102516,-0.696818,2.174155,-2.222228,0.961393,-0.150660
2.000000,1.906316,-0.367642,-0.355890,0.006719,0.504591,-0.567583,0.267571,-0.045543,1.195517,-0.578602,0.441661,1.400421,-4.141381,4.249514,-1.848602,0.289066,0.950145,0.028216,0.000570,-0.018986,0.005122,0.023781,-0.018573,0.003788,-22.600024,-1.102523,-0.391101,-2.739382,8.560356,-8.767125,3.785799,-0.589052
