t,x,y,z,yaw
0.0,1.0,1.5,0.2,-0.0
0.1,1.00221901769846,1.5470541566592573,0.20600000000000002,-0.0942477796076938
0.2,1.0088563746356556,1.5936906572928624,0.21200000000000002,-0.1884955592153876
0.30000000000000004,1.0198531571615286,1.6394955530196147,0.21800000000000003,-0.28274333882308145
0.4,1.0351117570558743,1.684062276342339,0.224,-0.3769911184307752
0.5,1.054496737905816,1.7269952498697734,0.23,-0.47123889803846897
0.6000000000000001,1.0778360372489926,1.7679133974894983,0.23600000000000002,-0.5654866776461629
0.7000000000000001,1.104922493812155,1.8064535268264883,0.24200000000000002,-0.6597344572538566
0.8,1.1355156862892941,1.8422735529643444,0.248,-0.7539822368615504
0.9,1.169344067338174,1.8750555348152298,0.254,-0.8482300164692441
1.0,1.2061073738537633,1.9045084971874737,0.26,-0.9424777960769379
1.1,1.2454792921248143,1.9303710135019718,0.266,-1.0367255756846319
1.2000000000000002,1.2871103542174638,1.9524135262330098,0.272,-1.1309733552923258
1.3,1.3306310398773542,1.9704403844771128,0.278,-1.2252211349000193
1.4000000000000001,1.3756550564175727,1.9842915805643155,0.28400000000000003,-1.3194689145077132
1.5,1.4217827674798846,1.9938441702975689,0.29000000000000004,-1.413716694115407
1.6,1.4686047402353433,1.999013364214136,0.29600000000000004,-1.5079644737231008
1.7000000000000002,1.5157053795390643,1.999753280182866,0.30200000000000005,-1.6022122533307948
1.8,1.5626666167821521,1.996057350657239,0.308,-1.6964600329384882
1.9000000000000001,1.6090716206982714,1.9879583809693737,0.314,-1.7907078125461822
2.0,1.6545084971874737,1.9755282581475768,0.32,-1.8849555921538759
2.1,1.6985739453173903,1.9588773128419905,0.326,-1.9792033717615698
2.2,1.7408768370508576,1.9381533400219317,0.332,-2.0734511513692637
2.3000000000000003,1.7810416889260654,1.9135402871372809,0.338,-2.1676989309769574
2.4000000000000004,1.818711994874345,1.8852566213878945,0.34400000000000003,-2.2619467105846516
2.5,1.8535533905932737,1.8535533905932737,0.35,-2.356194490192345
2.6,1.8852566213878945,1.8187119948743449,0.356,-2.4504422698000385
2.7,1.9135402871372809,1.7810416889260652,0.362,-2.5446900494077327
2.8000000000000003,1.9381533400219317,1.7408768370508576,0.368,-2.6389378290154264
2.9000000000000004,1.9588773128419907,1.69857394531739,0.374,-2.7331856086231205
3.0,1.9755282581475768,1.6545084971874737,0.38,-2.827433388230814
3.1,1.9879583809693737,1.6090716206982714,0.386,-2.9216811678385075
3.2,1.996057350657239,1.5626666167821521,0.392,-3.0159289474462017
3.3000000000000003,1.999753280182866,1.515705379539064,0.398,-3.1101767270538954
3.4000000000000004,1.999013364214136,1.468604740235343,0.404,-3.2044245066615895
3.5,1.9938441702975689,1.4217827674798846,0.41000000000000003,-3.2986722862692828
3.6,1.9842915805643155,1.3756550564175727,0.41600000000000004,-3.3929200658769765
3.7,1.9704403844771128,1.3306310398773542,0.42200000000000004,-3.4871678454846706
3.8000000000000003,1.9524135262330098,1.2871103542174636,0.42800000000000005,-3.5814156250923643
3.9000000000000004,1.9303710135019716,1.2454792921248141,0.43400000000000005,-3.6756634047000585
4.0,1.9045084971874737,1.2061073738537635,0.44,-3.7699111843077517
4.1000000000000005,1.8750555348152296,1.1693440673381739,0.44600000000000006,-3.864158963915446
4.2,1.8422735529643444,1.1355156862892941,0.452,-3.9584067435231396
4.3,1.8064535268264883,1.104922493812155,0.458,-4.052654523130833
4.4,1.7679133974894983,1.0778360372489924,0.464,-4.1469023027385274
4.5,1.7269952498697734,1.054496737905816,0.47000000000000003,-4.241150082346221
4.6000000000000005,1.684062276342339,1.0351117570558743,0.47600000000000003,-4.335397861953915
4.7,1.6394955530196147,1.0198531571615286,0.482,-4.429645641561608
4.800000000000001,1.593690657292862,1.0088563746356556,0.48800000000000004,-4.523893421169303
4.9,1.547054156659257,1.00221901769846,0.494,-4.618141200776996
5.0,1.5,1.0,0.5,-4.71238898038469
5.1000000000000005,1.4529458433407427,1.00221901769846,0.506,-4.806636759992384
5.2,1.4063093427071378,1.0088563746356556,0.512,-4.900884539600077
5.300000000000001,1.3605044469803849,1.0198531571615286,0.518,-4.995132319207772
5.4,1.3159377236576608,1.0351117570558743,0.524,-5.089380098815465
5.5,1.2730047501302266,1.0544967379058159,0.53,-5.183627878423159
5.6000000000000005,1.2320866025105017,1.0778360372489926,0.536,-5.277875658030853
5.7,1.193546473173512,1.1049224938121547,0.542,-5.372123437638546
5.800000000000001,1.1577264470356554,1.1355156862892946,0.548,-5.466371217246241
5.9,1.1249444651847702,1.1693440673381743,0.554,-5.560618996853934
6.0,1.0954915028125263,1.2061073738537633,0.56,-5.654866776461628
6.1000000000000005,1.0696289864980282,1.2454792921248143,0.5660000000000001,-5.749114556069322
6.2,1.0475864737669904,1.2871103542174636,0.5720000000000001,-5.843362335677015
6.300000000000001,1.0295596155228872,1.3306310398773546,0.5780000000000001,-5.93761011528471
6.4,1.0157084194356845,1.3756550564175727,0.5840000000000001,-6.031857894892403
6.5,1.0061558297024311,1.4217827674798844,0.5900000000000001,-6.126105674500097
6.6000000000000005,1.000986635785864,1.4686047402353433,0.5960000000000001,-6.220353454107791
6.7,1.000246719817134,1.515705379539064,0.602,-6.314601233715484
6.800000000000001,1.0039426493427612,1.5626666167821526,0.6080000000000001,-6.408849013323179
6.9,1.0120416190306263,1.6090716206982714,0.614,-6.503096792930872
7.0,1.0244717418524232,1.6545084971874735,0.62,-6.5973445725385655
7.1000000000000005,1.0411226871580095,1.6985739453173903,0.626,-6.69159235214626
