# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.000000,1.003174,-0.000000,0.000000,0.189175,-0.049726,-0.063796,-0.005098,0.023316,1.531887,-0.000000,0.000000,2.745130,-4.133044,0.077378,2.817584,-1.251054,0.104315,-0.000000,-0.000000,0.068917,-0.030628,-0.028234,0.002266,0.009578,0.060425,-0.000000,0.000000,6.047410,-9.578600,0.791767,6.195151,-2.901217
1.000000,1.097044,0.182261,0.044368,0.066403,-0.028143,-0.023887,-0.001207,0.009409,1.787882,0.238232,0.202539,-0.448463,-0.044328,0.332588,-0.007360,-0.087536,0.126214,0.023712,-0.024228,0.044617,-0.006300,-0.013938,-0.007627,0.008145,0.614936,0.649049,0.590001,-1.988902,1.731429,0.522378,-1.295827,0.435129
1.000000,1.346247,0.296816,0.015323,0.020124,-0.020126,-0.010265,0.004782,0.001916,1.973554,0.126637,-0.031597,-0.510861,0.604487,0.058791,-0.391620,0.147339,0.150594,0.025469,-0.010916,0.012574,0.002511,-0.003533,-0.004446,0.002799,1.258193,0.670894,-0.064042,-0.526422,1.124161,-0.218556,-0.735393,0.380204
1.000000,1.654816,0.298103,-0.035755,-0.000340,-0.019845,-0.000201,0.012887,-0.005319,1.976730,-0.075582,-0.129521,-0.180525,0.363255,-0.020875,-0.249658,0.111621,0.175052,0.026654,-0.001372,-0.003674,0.000863,0.002249,0.001545,-0.001642,1.889038,0.616475,-0.130516,0.383943,-0.194347,-0.171568,0.117080,0.003874
1.000000,1.904346,0.185276,-0.076253,-0.010160,-0.018360,0.006736,0.017772,-0.009860,1.795446,-0.244152,-0.101139,-0.022672,0.164843,-0.029769,-0.122484,0.061143,0.199676,0.025363,0.003967,-0.004303,-0.002581,0.001493,0.003043,-0.001681,2.513979,0.601638,-0.022907,0.368048,-0.471413,-0.047103,0.316384,-0.118556
1.000000,1.999495,0.000138,-0.090022,-0.005913,-0.011894,0.006900,0.013678,-0.008088,1.501217,-0.310816,-0.031032,0.029347,0.066491,-0.023784,-0.055519,0.031073,0.224977,0.024018,0.000839,0.002319,-0.001942,-0.000704,0.000659,-0.000009,3.140070,0.607213,0.037812,0.189582,-0.363671,0.011366,0.257894,-0.112312
1.000000,1.904294,-0.185269,-0.074803,0.005991,0.001052,0.003444,0.002288,-0.002334,1.206978,-0.253391,0.037880,0.034668,0.024025,-0.016097,-0.024534,0.015475,0.250157,0.025257,-0.001201,0.000369,-0.000898,0.000716,0.001293,-0.000904,3.767953,0.614908,0.048047,0.075511,-0.220172,0.023484,0.163073,-0.076089
1.000000,1.654664,-0.298081,-0.030768,0.008713,0.013613,0.002500,-0.006515,0.001288,1.025003,-0.096895,0.082020,0.020730,0.006666,-0.009667,-0.010996,0.007848,0.274788,0.025379,0.002084,-0.001854,-0.002208,0.000826,0.002214,-0.001168,4.396716,0.620084,0.036617,0.028009,-0.120819,0.017759,0.091093,-0.043742
1.000000,1.345414,-0.296601,0.031372,0.002948,0.016783,0.001775,-0.009021,0.002717,1.024708,0.096616,0.087385,0.005459,0.000687,-0.006959,-0.007581,0.006049,0.300062,0.024396,0.000228,0.000988,-0.001556,0.000236,0.001258,-0.000678,5.025717,0.623227,0.021128,0.013206,-0.062135,0.009543,0.045838,-0.021977
1.000000,1.095386,-0.184115,0.080402,0.002503,0.012730,-0.001606,-0.009321,0.004197,1.206364,0.252575,0.051611,-0.001283,0.001824,-0.008016,-0.010979,0.008383,0.324933,0.025575,0.000856,-0.001432,-0.001941,0.001028,0.002230,-0.001308,5.654546,0.625463,0.009414,0.007654,-0.029086,0.004584,0.020366,-0.009803
